date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010-01-01,18.2,13.5,24.0,,,313.0,17.2,,,
2010-01-02,18.8,10.0,26.0,,,236.0,9.4,,,
2010-01-03,19.3,13.2,26.2,,,320.0,10.1,,,
2010-01-04,18.9,14.8,24.0,,,317.0,26.3,,,
2010-01-05,18.1,13.6,24.0,,,318.0,28.2,,,
2010-01-06,18.7,13.4,24.4,,,322.0,19.0,,,
2010-01-07,20.2,13.8,28.2,,,317.0,8.7,,,
2010-01-08,20.3,14.8,27.2,,,,,,,
2010-01-09,19.7,12.4,28.8,,,,8.3,,,
2010-01-10,19.4,11.4,29.0,,,,3.5,,,
2010-01-11,18.8,10.6,27.2,,,,5.4,,,
2010-01-12,19.1,13.0,24.6,,,338.0,8.9,,,
2010-01-13,19.3,16.4,23.0,,,,14.4,,,
2010-01-14,17.7,10.8,25.0,,,282.0,12.1,,,
2010-01-15,17.7,12.6,24.0,,,298.0,11.6,,,
2010-01-16,19.6,11.9,25.0,,,228.0,10.6,,,
2010-01-17,23.6,18.8,26.2,,,138.0,12.9,,,
2010-01-18,19.3,14.5,22.5,,,292.0,21.8,,,
2010-01-19,15.4,10.0,,,,,,,,
2010-01-20,19.5,,24.4,,,,,,,
2010-01-21,17.0,12.0,21.2,,,303.0,18.3,,,
2010-01-22,16.8,12.5,21.2,,,300.0,13.1,,,
2010-01-23,18.6,10.6,26.0,,,278.0,8.3,,,
2010-01-24,19.3,12.7,26.0,,,310.0,17.4,,,
2010-01-25,16.2,11.0,20.2,,,310.0,25.3,,,
2010-01-26,15.9,11.6,19.5,,,306.0,24.7,,,
2010-01-27,16.1,12.0,21.2,,,302.0,16.1,,,
2010-01-28,16.8,8.6,23.6,,,188.0,9.3,,,
2010-01-29,20.0,10.8,27.6,,,179.0,10.2,,,
2010-01-30,22.6,17.3,25.0,,,145.0,19.5,,,
2010-01-31,23.0,20.0,26.0,,,313.0,22.0,,,
2010-02-01,20.2,17.0,25.0,,,318.0,27.4,,,
2010-02-02,18.4,12.8,24.4,,,312.0,24.9,,,
2010-02-03,17.4,13.0,21.6,,,315.0,31.3,,,
2010-02-04,14.6,10.3,18.6,,,312.0,34.7,,,
2010-02-05,14.7,10.0,19.4,,,301.0,26.3,,,
2010-02-06,14.3,10.4,18.4,,,311.0,28.3,,,
2010-02-07,15.2,10.3,20.0,,,292.0,14.3,,,
2010-02-08,17.4,9.8,23.4,,,191.0,9.7,,,
2010-02-09,18.9,9.8,25.0,,,182.0,9.4,,,
2010-02-10,19.6,13.5,24.3,,,329.0,12.6,,,
2010-02-11,19.2,12.6,24.4,,,167.0,8.1,,,
2010-02-12,20.6,14.5,27.0,,,304.0,10.0,,,
2010-02-13,22.8,15.9,29.5,,,317.0,13.1,,,
2010-02-14,24.8,17.0,31.4,,,317.0,9.3,,,
2010-02-15,24.4,19.0,29.3,,,,9.0,,,
2010-02-16,24.3,20.0,28.4,,,131.0,9.5,,,
2010-02-17,24.6,19.8,29.4,,,110.0,9.5,,,
2010-02-18,23.8,19.0,28.0,,,115.0,10.8,,,
2010-02-19,24.3,20.0,29.8,,,319.0,17.0,,,
2010-02-20,23.7,16.6,30.0,,,,9.0,,,
2010-02-21,23.4,16.0,29.8,,,,8.0,,,
2010-02-22,22.1,18.8,26.0,,,319.0,27.4,,,
2010-02-23,21.1,16.8,27.0,,,318.0,21.9,,,
2010-02-24,20.6,15.0,28.0,,,320.0,19.4,,,
2010-02-25,20.9,13.4,26.3,,,315.0,18.3,,,
2010-02-26,20.2,17.0,25.2,,,312.0,28.8,,,
2010-02-27,19.2,14.0,24.1,,,,14.3,,,
2010-02-28,22.7,14.4,31.2,,,273.0,23.8,,,
2010-03-01,19.3,16.0,23.3,,,323.0,31.4,,,
2010-03-02,20.7,16.0,26.0,,,301.0,19.2,,,
2010-03-03,22.0,13.8,27.5,,,,12.7,,,
2010-03-04,20.7,16.9,25.0,,,318.0,26.5,,,
2010-03-05,21.3,13.2,28.2,,,102.0,8.8,,,
2010-03-06,22.6,16.4,28.2,,,313.0,11.9,,,
2010-03-07,22.8,17.6,29.0,,,317.0,16.5,,,
2010-03-08,24.1,15.2,30.8,,,,5.9,,,
2010-03-09,24.9,19.4,29.6,,,,12.4,,,
2010-03-10,24.7,20.0,29.0,,,145.0,8.4,,,
2010-03-11,24.6,17.6,31.3,,,,10.4,,,
2010-03-12,24.2,16.7,31.1,,,,9.3,,,
2010-03-13,24.7,19.7,28.4,,,135.0,10.4,,,
2010-03-14,25.9,22.4,29.0,,,127.0,13.2,,,
2010-03-15,26.4,25.0,29.2,,,113.0,10.4,,,
2010-03-16,23.3,19.8,27.7,,,326.0,38.9,,,
2010-03-17,20.7,15.7,25.7,,,328.0,36.4,,,
2010-03-18,19.2,15.4,24.0,,,315.0,47.8,,,
